layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
4;23;0.004139901462050792;0.69999999999999996;<function selu at 0x7fe88f9aab18>;280;He;4.504532087558748;4.5433440667246376;0.0;0.934815;215;0.931111
5;18;0.027823386765991973;0.69999999999999996;<function tanh at 0x7fe894d0f488>;70;He;5.4524869910941183;6.1646365249076096;0.0;0.887901;20;0.888148
3;33;0.0071304008743427;0.69999999999999996;<function elu at 0x7fe894e62668>;260;None;4.5650307964831427;4.8815258183165442;0.0;0.937778;200;0.931358
2;16;0.04197446612617519;0.69999999999999996;<function elu at 0x7fe894e62668>;35;He;7.6019715232957727;6.7186814014674523;0.0;0.876543;10;0.884198
3;31;0.015761950760799663;0.69999999999999996;<function elu at 0x7fe894e62668>;55;None;4.7000569123600906;5.294094336357225;0.0;0.926667;25;0.925185
4;23;0.023565289329782267;0.69999999999999996;<function tanh at 0x7fe894d0f488>;40;He;5.4668919399980203;5.4892615235912121;0.0;0.904692;10;0.903951
5;18;0.010639638434941975;0.5;<function selu at 0x7fe88f9aab18>;75;Xavier;4.7685654638306048;5.1106936073292175;0.0;0.927655;50;0.923457
2;12;0.009228724232532088;0.5;<function relu at 0x7fe894e89578>;35;None;32.536952132569553;32.761515111911159;0.0;0.244938;1;0.237778
4;23;0.04717049582916866;0.69999999999999996;<function relu at 0x7fe894e89578>;25;None;24.495370321759211;23.522092337259728;0.0;0.120988;1;0.110864
2;48;0.018403823729307798;0.5;<function elu at 0x7fe894e62668>;50;None;7.3598473175550936;7.4880385233175719;0.0;0.892593;20;0.897531
5;18;0.01334573080003662;0.69999999999999996;<function softsign at 0x7fe894e89c80>;225;He;23.220801211437177;23.590341062270223;0.0;0.756543;120;0.758025
3;33;0.033195112528034816;0.5;<function elu at 0x7fe894e62668>;20;Xavier;30.46131119891794;30.923616877402438;0.0;0.492346;1;0.474321
3;32;0.024216198854143115;0.69999999999999996;<function tanh at 0x7fe894d0f488>;65;None;6.4076809570760984;7.4780173702029167;0.0;0.897531;45;0.898272
5;18;0.04305785668475628;1.0;<function selu at 0x7fe88f9aab18>;25;Xavier;31.131210438633534;31.020679858364993;0.0;0.415556;5;0.408148
4;25;0.03588669767187948;1.0;<function elu at 0x7fe894e62668>;30;None;26.007092229091427;25.205656168420973;0.0;0.632346;5;0.628889
4;25;0.04588762455274636;0.69999999999999996;<function selu at 0x7fe88f9aab18>;20;None;24.30241817885701;24.041801730583238;0.0;0.139012;1;0.131111
