layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;67;0.04345789821959111;1;<function relu at 0x7fa3757cf578>;40;He;7.929117468270749;8.6287729842037706;0.0;0.899013;15;0.891605
1;93;0.037611067889590975;1;<function relu at 0x7fa3757cf578>;40;Xavier;18.369175588386707;19.491133442765886;0.0;0.712593;10;0.711605
5;20;0.04070002957449111;0.69999999999999996;<function selu at 0x7fa3702f0b18>;20;He;24.67656346893725;24.447611716493928;0.0;0.117037;1;0.120988
1;67;0.039198131584692826;1;<function relu at 0x7fa3757cf578>;430;He;17.087525833035347;16.303028912281231;0.720741;0.724445;325;0.732593
2;50;0.03150787648947238;0.5;<function tanh at 0x7fa375655488>;345;None;5.9693879451897578;5.6297379240179595;0.901729;0.90321;240;0.905679
5;18;0.015653111239961753;0.5;<function softsign at 0x7fa3757cfc80>;230;Xavier;33.490621135006371;32.382657215555859;0.361975;0.57605;125;0.588148
5;20;0.013687712121672543;0.5;<function elu at 0x7fa3757a8668>;50;None;24.360148956572587;24.181929967030051;0.0;0.598765;25;0.609383
1;65;0.019570524929681435;1;<function relu at 0x7fa3757cf578>;25;None;25.652265272500404;25.371737069312822;0.0;0.133827;5;0.135802
5;18;0.018487581850196454;0.69999999999999996;<function selu at 0x7fa3702f0b18>;30;He;23.133602014017747;22.70660028917974;0.0;0.144938;5;0.145432
5;19;0.03209095373132952;0.5;<function softsign at 0x7fa3757cfc80>;105;He;19.72485637077585;18.779494406157255;0.127407;0.142222;50;0.137037
3;33;0.027452679518836245;0.69999999999999996;<function selu at 0x7fa3702f0b18>;25;Xavier;28.469146509907723;28.341075894150212;0.0;0.265679;5;0.267654
3;33;0.0019131251152712764;0.69999999999999996;<function relu at 0x7fa3757cf578>;120;None;28.286793052230195;27.998976618134744;0.0;0.28963;75;0.296049
1;12;0.03767324707567113;1;<function selu at 0x7fa3702f0b18>;220;Xavier;22.245529615356503;22.710788440713404;0.521235;0.546914;115;0.548642
2;50;0.04377983211678224;0.5;<function elu at 0x7fa3757a8668>;25;He;23.633692905028997;23.847480620845282;0.0;0.122222;5;0.119259
2;48;0.040662008913322494;0.69999999999999996;<function relu at 0x7fa3757cf578>;95;None;22.434079286385504;22.40835627008423;0.0;0.14321;75;0.148148
3;31;0.04995346761939239;1.0;<function selu at 0x7fa3702f0b18>;30;None;21.383286280994632;21.527919155250625;0.0;0.138025;10;0.136296
