layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.013913042098266588;1.0;<function relu at 0x7f44b34ae578>;105;None;20.070322945349446;21.629065892647972;0.0;0.691605;5;0.686173
1;48;0.03326991660027384;1;<function softsign at 0x7f44b34aec80>;60;Xavier;4.4507499851794199;4.7911415489284632;0.0;0.945679;20;0.943951
5;19;0.03837760733735272;0.5;<function tanh at 0x7f44b3334488>;100;Xavier;5.3200566341974627;5.5757657086100183;0.0;0.900988;25;0.902963
5;20;0.012223786310641112;0.69999999999999996;<function selu at 0x7f44adfcfb18>;50;None;3.482269414383159;2.988776444715854;0.0;0.951852;25;0.954815
3;25;0.005303844681935365;0.69999999999999996;<function elu at 0x7f44b3487668>;215;Xavier;3.2220093586565248;2.846047216477789;0.0;0.962963;180;0.961235
4;24;0.04551731497434254;1.0;<function relu at 0x7f44b34ae578>;105;Xavier;21.525568495867041;22.084125090412627;0.134815;0.142716;40;0.144198
5;18;0.001357397651655715;0.69999999999999996;<function tanh at 0x7f44b3334488>;105;He;27.035266868034043;28.235364124224727;0.28642;0.337284;45;0.345432
1;24;0.044811948660398344;1;<function selu at 0x7f44adfcfb18>;50;He;10.015869133876246;10.288566242974618;0.0;0.870864;20;0.868148
3;12;0.012296159861131525;1.0;<function tanh at 0x7f44b3334488>;145;Xavier;34.779966798934403;34.463970747477362;0.0;0.64;120;0.643457
1;25;0.037813277235645266;1;<function tanh at 0x7f44b3334488>;140;He;6.5250621850541277;5.7901102950704599;0.884445;0.923951;70;0.920741
4;24;0.04865107893622107;1.0;<function relu at 0x7f44b34ae578>;55;Xavier;21.295777413610743;21.173037468030383;0.0;0.136543;20;0.134568
3;32;0.015897677600949244;0.5;<function tanh at 0x7f44b3334488>;160;None;4.6268469003186139;4.7827358075272084;0.911111;0.93605;80;0.928642
1;21;0.008418432854954604;1;<function tanh at 0x7f44b3334488>;640;Xavier;4.1732047469639326;4.1698433249549733;0.0;0.933334;610;0.929136
2;29;0.02333595596340477;0.69999999999999996;<function relu at 0x7f44b34ae578>;105;None;28.78785752258651;28.056532735022977;0.0;0.335556;45;0.343951
3;21;0.038431018315030485;1.0;<function relu at 0x7f44b34ae578>;30;Xavier;20.370265618885174;21.266298428840461;0.0;0.125432;5;0.130617
3;27;0.029880147570828915;0.69999999999999996;<function tanh at 0x7f44b3334488>;250;Xavier;17.931468721002833;18.411244849272489;0.199012;0.239012;145;0.25037
